x,y,heading
-134.5058499,182.2971584,89.99999566
-134.5058499,182.5559558,89.99999566
-134.5058499,182.8096284,89.99999566
-134.5058499,183.0684258,89.99999566
-134.5058499,183.3272232,89.99999566
-134.5058498,183.5988324,89.99999566
-134.5058498,183.8832533,89.99999566
-134.5058498,184.1676741,89.99999566
-134.5058498,184.452095,89.99999566
-134.5058497,184.7365158,89.99999566
-134.5058497,184.9876262,89.99999566
-134.5058497,185.2259247,89.99999566
-134.5058497,185.4565362,89.99999566
-134.5058497,185.658962,89.99999566
-134.5058497,185.8613877,89.99999566
-134.5058496,186.0561264,89.99999566
-134.5058496,186.2636768,89.99999566
-134.5058496,186.499413,89.99999566
-134.5058496,186.7633352,89.99999566
-134.5058496,187.0298196,89.99999566
-134.5058496,187.2963041,89.99999566
-134.5058495,187.5499767,89.99999566
-134.5058495,187.7985248,89.99999566
-134.5058495,188.0573222,89.99999566
-134.5058495,188.3314937,89.99999566
-134.5058495,188.6338511,89.99999566
-134.5058494,188.9515826,89.99999566
-134.5058494,189.2949375,89.99999566
-134.5058494,189.6408548,89.99999566
-134.5058493,189.986772,89.99999566
-134.5058493,190.3993104,89.99999566
-134.5058493,190.8015995,89.99999566
-134.5058493,191.2115756,89.99999566
-134.5058492,191.6394881,89.99999566
-134.5058492,192.0392148,89.99999566
-134.5058492,192.4594403,89.99999566
-134.5058491,192.8566046,89.99999566
-134.5058491,193.2409572,89.99999566
-134.5058491,193.6329969,89.99999566
-134.505849,194.0506601,89.99999566
-134.505849,194.4657609,89.99999566
-134.505849,194.9039229,89.99999566
-134.5058489,195.3548966,89.99999566
-134.5058489,195.8161197,89.99999566
-134.5058489,196.2875922,89.99999566
-134.5058488,196.7667518,89.99999566
-134.5058488,197.2407866,89.99999566
-134.5058488,197.7353202,89.99999566
-134.5058487,198.2401032,89.99999566
-134.5058487,198.7525733,89.99999566
-134.5058486,199.2676058,89.99999566
-134.5058486,199.7928876,89.99999566
-134.5058486,200.3207318,89.99999566
-134.5058485,200.8383266,89.99999566
-134.5058485,201.3789825,89.99999566
-134.5058484,201.9119514,89.99999566
-134.5058484,202.4500451,89.99999566
-134.5058484,202.9702022,89.99999566
-134.5058483,203.4929217,89.99999566
-134.5058483,204.0182036,89.99999566
-134.5058482,204.5409231,89.99999566
-134.5058482,205.073892,89.99999566
-134.5058482,205.614548,89.99999566
-134.5058481,206.1526416,89.99999566
-134.5058481,206.6907353,89.99999566
-134.505848,207.244203,89.99999566
-134.505848,207.7771719,89.99999566
-134.505848,208.3152656,89.99999566
-134.5058479,208.8636086,89.99999566
-134.5058479,209.4068268,89.99999566
-134.5058478,209.9449205,89.99999566
-134.5058478,210.4881387,89.99999566
-134.5058478,211.0416065,89.99999566
-134.5058477,211.6001988,89.99999566
-134.5058477,212.1639159,89.99999566
-134.5058476,212.7301955,89.99999566
-134.5058476,213.3041619,89.99999566
-134.5058475,213.9011897,89.99999566
-134.5058475,214.5007797,89.99999566
-134.5058475,215.0901203,89.99999566
-134.5058474,215.6948351,89.99999566
-134.5058474,216.2893004,89.99999566
-134.5058473,216.8786409,89.99999566
-134.5058473,217.4654192,89.99999566
-134.5058472,218.0393856,89.99999566
-134.5058472,218.6210393,89.99999566
-134.5058471,219.2001305,89.99999566
-134.5058471,219.7843464,89.99999566
-134.505847,220.3788117,89.99999566
-134.505847,220.9912134,89.99999566
-134.505847,221.5856787,89.99999566
-134.5058469,222.1775817,89.99999566
-134.5058469,222.7874211,89.99999566
-134.5058468,223.3280771,89.99999566
-134.5058468,223.8226107,89.99999566
-134.5058468,224.2505232,89.99999566
-134.5058467,224.5656923,89.99999566
-134.5058467,224.7988662,89.99999566
-134.5058467,224.9167344,89.99999566
-134.5058467,224.9782308,89.99999566
